Title,Authors,Date,Pureportal,Pub Link
A bibliometric review of the Waqf literature,"Hasan, R.",Jun 2022,https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan,https://pureportal.coventry.ac.uk/en/publications/a-bibliometric-review-of-the-waqf-literature
A note on COVID-19 instigated maximum drawdown in Islamic markets versus conventional counterparts,"Hasan, R.",May 2022,https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan,https://pureportal.coventry.ac.uk/en/publications/a-note-on-covid-19-instigated-maximum-drawdown-in-islamic-markets
Bank stock valuation theories: do they explain prices based on theories?,"Zarei, A.",1 Mar 2022,https://pureportal.coventry.ac.uk/en/persons/alireza-zarei,https://pureportal.coventry.ac.uk/en/publications/bank-stock-valuation-theories-do-they-explain-prices-based-on-the
CEO Duality and Firm Performance: A Systematic Review and Research Agenda,"Yu, M.",25 May 2022,https://pureportal.coventry.ac.uk/en/persons/mei-yu,https://pureportal.coventry.ac.uk/en/publications/ceo-duality-and-firm-performance-a-systematic-review-and-research
CEO Financial Experience and Firms’ Earnings Management in M&A: the importance of Experience Specificity,"Nguyen, T.,Nguyen, T.,Andrikopoulos, P.",7 Mar 2022,"https://pureportal.coventry.ac.uk/en/persons/thai-nguyen,https://pureportal.coventry.ac.uk/en/persons/thang-nguyen,https://pureportal.coventry.ac.uk/en/persons/panagiotis-andrikopoulos",https://pureportal.coventry.ac.uk/en/publications/ceo-financial-experience-and-firms-earnings-management-in-mampa-t
CEO tenure and cost of debt,"Owusu, A.,Owusu-Mensah, R.",Aug 2022,"https://pureportal.coventry.ac.uk/en/persons/andrews-owusu,https://pureportal.coventry.ac.uk/en/persons/ruth-owusu-mensah-2",https://pureportal.coventry.ac.uk/en/publications/ceo-tenure-and-cost-of-debt
Cheating Behaviour among OPEC Member-States and Oil Price Fairness and Stability: An Empirical Analysis,"Ibrahim, M.",2022,https://pureportal.coventry.ac.uk/en/persons/masud-ibrahim,https://pureportal.coventry.ac.uk/en/publications/cheating-behaviour-among-opec-member-states-and-oil-price-fairnes
Clinicians’ informal acquisition of accounting literacy in UK clinical commissioning groups,"Enombu, J. A.",22 Jun 2022,https://pureportal.coventry.ac.uk/en/persons/john-ayuk-enombu,https://pureportal.coventry.ac.uk/en/publications/clinicians-informal-acquisition-of-accounting-literacy-in-uk-clin
Competing Institutional Logics and Power Dynamics in Islamic Financial Reporting Standardisation Projects,"Abras, A.",10 May 2022,https://pureportal.coventry.ac.uk/en/persons/ahmad-abras,https://pureportal.coventry.ac.uk/en/publications/competing-institutional-logics-and-power-dynamics-in-islamic-fina
Corporate Governance and IFSB Standard-4: Evidence from Islamic Banks in Bangladesh,"Ullah, H.",18 Jan 2022,https://pureportal.coventry.ac.uk/en/persons/hafij-ullah,https://pureportal.coventry.ac.uk/en/publications/corporate-governance-and-ifsb-standard-4-evidence-from-islamic-ba
Corporate hedging and the cost of equity capital,"Ahmed, H.,Guney, Y.",2022,"https://pureportal.coventry.ac.uk/en/persons/hany-ahmed,https://pureportal.coventry.ac.uk/en/persons/yilmaz-guney",https://pureportal.coventry.ac.uk/en/publications/corporate-hedging-and-the-cost-of-equity-capital
Corporate Social Responsibility & Firm Efficiency: Evidence from Endogenous Cost Inefficiency Stochastic Frontier Analysis,"Mulatu, A.,Xu, B.",1 May 2022,"https://pureportal.coventry.ac.uk/en/persons/abay-mulatu,https://pureportal.coventry.ac.uk/en/persons/boying-xu",https://pureportal.coventry.ac.uk/en/publications/corporate-social-responsibility-amp-firm-efficiency-evidence-from
Corporate Social Responsibility and Financial Performance of Product and Service-Based Firms Listed on London Stock Exchange,"Elmghaamez, I.",1 Apr 2022,https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez,https://pureportal.coventry.ac.uk/en/publications/corporate-social-responsibility-and-financial-performance-of-prod
Determinants of Informal Entrepreneurship in Africa,"Owusu, A.",2022,https://pureportal.coventry.ac.uk/en/persons/andrews-owusu,https://pureportal.coventry.ac.uk/en/publications/determinants-of-informal-entrepreneurship-in-africa
"Diffusion theory, transnational antecedents and International Standards on Auditing adoption around the world","Elmghaamez, I.",Apr 2022,https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez,https://pureportal.coventry.ac.uk/en/publications/diffusion-theory-transnational-antecedents-and-international-stan
Dissecting the effect of family business exposure on entrepreneurial implementation intention,"Tony-Okeke, U.",6 May 2022,https://pureportal.coventry.ac.uk/en/persons/uchenna-tony-okeke,https://pureportal.coventry.ac.uk/en/publications/dissecting-the-effect-of-family-business-exposure-on-entrepreneur
